Time,Latitude,Longitude,counts
1745024598.01,0,0,42.5
1745024599.95,0,0,42.5
1745024601.98,0,0,47.5
1745024603.99,0,0,46.0
1745024605.98,0,0,45.5
1745024607.98,0,0,45.5
1745024609.95,0,0,45.5
1745024611.98,0,0,36.0
1745024613.98,0,0,37.0
1745024615.98,0,0,48.0
1745024617.98,0,0,34.0
1745024619.97,0,0,34.0
1745024621.98,0,0,51.0
1745024623.98,0,0,39.5
1745024625.98,0,0,38.0
1745024627.95,0,0,38.0
1745024629.98,0,0,37.0
1745024631.98,0,0,39.5
1745024633.98,0,0,42.5
1745024635.98,0,0,46.5
1745024637.95,0,0,46.5
1745024639.98,0,0,43.5
1745024641.98,0,0,40.5
1745024643.98,0,0,43.0
1745024645.98,0,0,38.5
1745024647.96,0,0,38.5
1745024649.98,0,0,51.5
1745024651.98,0,0,42.5
1745024653.98,0,0,48.0
1745024655.98,0,0,48.0
1745024657.98,0,0,47.0
1745024660.0,0,0,30.5
1745024661.98,0,0,54.0
1745024663.98,0,0,44.5
1745024665.96,0,0,44.5
1745024667.98,0,0,44.0
1745024669.99,0,0,40.0
1745024671.98,0,0,55.0
1745024673.98,0,0,47.0
1745024675.97,0,0,47.0
1745024677.98,0,0,47.5
1745024679.99,0,0,42.5
1745024681.99,0,0,47.0
1745024683.98,0,0,47.0
1745024685.97,0,0,47.0
1745024687.98,0,0,52.5
1745024689.99,0,0,40.0
1745024691.98,0,0,49.0
1745024693.98,0,0,48.0
1745024695.96,0,0,48.0
1745024697.98,0,0,39.0
1745024699.99,0,0,35.5
1745024701.98,0,0,40.5
1745024703.96,0,0,40.5
1745024705.98,0,0,42.5
1745024707.98,0,0,38.0
1745024709.98,0,0,48.0
1745024711.98,0,0,42.5
1745024713.97,0,0,42.5
1745024715.98,0,0,46.5
1745024717.98,0,0,48.0
1745024720.0,0,0,46.5
1745024721.98,0,0,50.5
1745024723.97,0,0,50.5
1745024725.99,0,0,48.0
1745024727.98,0,0,48.5
1745024729.98,0,0,41.5
1745024731.96,0,0,41.5
1745024733.98,0,0,42.0
1745024735.98,0,0,43.0
1745024737.98,0,0,40.0
1745024739.98,0,0,50.0
1745024741.96,0,0,50.0
1745024743.98,0,0,48.0
1745024746.0,0,0,44.5
1745024747.98,0,0,45.0
1745024749.98,0,0,43.5
1745024751.97,0,0,43.5
1745024753.98,0,0,38.5
1745024755.99,0,0,43.5
1745024757.98,0,0,40.0
1745024759.95,0,0,40.0
1745024761.98,0,0,44.5
1745024763.98,0,0,52.5
1745024765.99,0,0,48.0
1745024767.98,0,0,43.0
1745024769.96,0,0,43.0
1745024771.98,0,0,34.0
1745024773.98,0,0,46.0
1745024775.98,0,0,43.0
1745024777.96,0,0,43.0
1745024779.98,0,0,50.0
1745024781.98,0,0,42.0
1745024783.98,0,0,53.0
1745024785.98,0,0,51.0
1745024787.96,0,0,51.0
1745024789.98,0,0,50.5
1745024791.98,0,0,39.0
1745024793.98,0,0,42.0
1745024795.98,0,0,43.5
1745024797.96,0,0,43.5
1745024799.98,0,0,40.5
1745024801.98,0,0,34.5
1745024803.98,0,0,39.5
1745024805.96,0,0,39.5
1745024807.98,0,0,39.5
1745024809.98,0,0,46.0
1745024811.98,0,0,40.0
1745024813.98,0,0,38.0
1745024815.95,0,0,38.0
1745024817.98,0,0,43.0
1745024819.98,0,0,41.0
1745024821.98,0,0,40.5
1745024823.98,0,0,42.5
1745024825.96,0,0,42.5
1745024827.99,0,0,50.0
1745024829.98,0,0,53.5
1745024831.98,0,0,42.5
1745024833.98,0,0,47.5
1745024835.96,0,0,47.5
1745024837.98,0,0,40.0
1745024839.98,0,0,56.0
1745024841.98,0,0,39.0
