Time,Latitude,Longitude,counts
1745023279.84,0,0,410.0
1745023281.88,0,0,399.0
1745023283.83,0,0,433.0
1745023285.83,0,0,426.5
1745023287.81,0,0,426.5
1745023289.84,0,0,435.5
1745023291.83,0,0,434.0
1745023293.83,0,0,407.5
1745023295.83,0,0,444.5
1745023297.81,0,0,444.5
1745023299.84,0,0,421.0
1745023301.83,0,0,430.5
1745023303.83,0,0,414.0
1745023305.81,0,0,414.0
1745023307.83,0,0,422.5
1745023309.83,0,0,415.5
1745023311.83,0,0,432.0
1745023313.83,0,0,417.5
1745023315.82,0,0,417.5
1745023317.83,0,0,442.0
1745023319.83,0,0,433.5
1745023321.83,0,0,440.5
1745023323.83,0,0,423.5
1745023325.81,0,0,423.5
1745023327.83,0,0,428.0
1745023329.83,0,0,467.5
1745023331.83,0,0,447.5
1745023333.81,0,0,447.5
1745023335.84,0,0,435.0
1745023337.83,0,0,413.5
1745023339.83,0,0,458.0
1745023341.83,0,0,471.0
1745023343.81,0,0,471.0
1745023345.85,0,0,425.5
1745023347.83,0,0,448.5
1745023349.83,0,0,423.5
1745023351.83,0,0,439.5
1745023353.81,0,0,439.5
1745023355.83,0,0,441.0
1745023357.83,0,0,393.5
1745023359.83,0,0,436.0
1745023361.84,0,0,421.0
1745023363.81,0,0,421.0
1745023365.83,0,0,419.5
1745023367.83,0,0,431.5
1745023369.83,0,0,455.0
1745023371.82,0,0,455.0
1745023373.83,0,0,426.5
1745023375.83,0,0,417.5
1745023377.83,0,0,469.5
1745023379.83,0,0,423.0
1745023381.81,0,0,423.0
1745023383.83,0,0,411.0
1745023385.83,0,0,415.5
1745023387.83,0,0,434.0
1745023389.81,0,0,434.0
1745023391.85,0,0,414.0
1745023393.84,0,0,431.5
1745023395.83,0,0,419.5
1745023397.84,0,0,428.0
1745023399.83,0,0,428.0
1745023401.83,0,0,422.5
1745023403.83,0,0,444.0
1745023405.83,0,0,431.0
1745023407.84,0,0,437.5
1745023409.81,0,0,437.5
1745023411.83,0,0,418.5
1745023413.85,0,0,441.0
1745023415.83,0,0,456.5
1745023417.84,0,0,439.0
1745023419.81,0,0,439.0
1745023421.83,0,0,441.0
1745023423.83,0,0,450.0
1745023425.84,0,0,431.5
1745023427.81,0,0,431.5
1745023429.83,0,0,430.5
1745023431.83,0,0,426.5
1745023433.83,0,0,439.5
1745023435.83,0,0,415.0
1745023437.81,0,0,415.0
1745023439.83,0,0,427.5
1745023441.83,0,0,422.0
1745023443.85,0,0,416.5
1745023445.82,0,0,416.5
1745023447.83,0,0,426.0
1745023449.83,0,0,423.5
1745023451.83,0,0,417.0
1745023453.83,0,0,446.0
1745023455.81,0,0,446.0
1745023457.83,0,0,432.5
1745023459.83,0,0,420.5
1745023461.86,0,0,431.0
1745023463.85,0,0,433.5
1745023465.81,0,0,433.5
1745023467.83,0,0,423.5
1745023469.83,0,0,434.0
1745023471.83,0,0,436.5
1745023473.83,0,0,437.5
1745023475.81,0,0,437.5
1745023477.83,0,0,411.5
1745023479.83,0,0,423.5
1745023481.83,0,0,408.5
1745023483.83,0,0,460.0
1745023485.82,0,0,460.0
1745023487.83,0,0,459.5
1745023489.84,0,0,435.0
1745023491.83,0,0,436.0
1745023493.81,0,0,436.0
1745023495.83,0,0,435.0
1745023497.83,0,0,435.5
1745023499.83,0,0,425.0
1745023501.83,0,0,406.5
1745023503.81,0,0,406.5
1745023505.83,0,0,440.5
1745023507.83,0,0,456.0
1745023509.84,0,0,441.0
1745023511.83,0,0,442.0
1745023513.81,0,0,442.0
1745023515.83,0,0,439.5
1745023517.83,0,0,410.0
1745023519.84,0,0,438.0
1745023521.81,0,0,438.0
1745023523.83,0,0,445.5
1745023525.83,0,0,414.0
1745023527.83,0,0,440.0
1745023529.83,0,0,444.5
1745023531.81,0,0,444.5
1745023533.83,0,0,433.0
1745023535.83,0,0,432.5
1745023537.83,0,0,468.5
1745023539.82,0,0,468.5
1745023541.83,0,0,420.5
1745023543.83,0,0,429.0
1745023545.84,0,0,420.5
1745023547.8,0,0,420.5
1745023549.83,0,0,425.5
1745023551.83,0,0,548.0
1745023553.83,0,0,420.5
1745023555.83,0,0,427.0
1745023557.81,0,0,427.0
1745023559.83,0,0,464.0
1745023561.84,0,0,409.5
1745023563.83,0,0,437.0
1745023565.83,0,0,442.0
1745023567.8,0,0,442.0
1745023569.83,0,0,441.5
1745023571.84,0,0,395.0
1745023573.83,0,0,429.5
1745023575.81,0,0,429.5
1745023577.83,0,0,425.0
1745023579.83,0,0,426.0
1745023581.83,0,0,415.5
1745023583.83,0,0,478.0
