time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 21 / 2025,1,1,1,33.3919140625,38724,100,766.5663078336963,2292.2296779401804
2 / 21 / 2025,0,0,0,24.13625,10703,36.79228763019156,1010.270393335688,24.8368486355491
2 / 21 / 2025,0,0,0,24.071796875,16223,36.70890277883191,1010.2808422847113,24.749646665908745
2 / 21 / 2025,0,0,0,24.0315625,21225,36.59841665857249,1010.283537273602,24.727155686090867
2 / 21 / 2025,0,0,0,24.0087109375,27159,36.46020197948769,1010.2970978361631,24.613986999867127
2 / 21 / 2025,0,0,0,23.9962109375,31640,36.32314244552846,1010.3012656000045,24.579205477670495
2 / 21 / 2025,0,0,0,23.9907421875,35427,36.19279943453655,1010.2944818143092,24.635818723780375
2 / 21 / 2025,0,0,0,23.989765625,39276,36.05122494233997,1010.2929425402867,24.648664587965456
2 / 21 / 2025,0,0,0,23.992109375,42329,35.91599306424268,1010.3003090886282,24.587187906646975
2 / 21 / 2025,0,0,0,23.9954296875,45331,35.79273909806006,1010.3092149545477,24.512865512291246
2 / 21 / 2025,0,0,0,23.99953125,50079,35.66378181607594,1010.3064991334478,24.53552988069051
2 / 21 / 2025,1,1,1,24.006171875,52558,35.588039309704115,1010.3096214729183,24.509472994801758
2 / 21 / 2025,1,1,1,24.0126171875,54814,35.61216464306305,1010.3014186056658,24.577928591361616
2 / 21 / 2025,1,1,1,24.0208203125,57272,35.654095579924366,1010.310675792997,24.500674383292424
2 / 21 / 2025,1,1,1,24.0274609375,60206,35.713524873987,1010.3064526607516,24.53591771016719
2 / 21 / 2025,0,0,0,24.0341015625,62735,35.731810882381346,1010.3040655088496,24.55583927377106
2 / 21 / 2025,0,0,0,24.04015625,65681,35.73240023703245,1010.3099360078129,24.506848107707842
2 / 21 / 2025,0,0,0,24.045234375,67699,35.72113409522147,1010.3087583676673,24.51667586780355
2 / 21 / 2025,0,0,0,24.0501171875,70179,35.65694225124105,1010.3127816890546,24.48310008284558
2 / 21 / 2025,0,0,0,24.0559765625,72428,35.61049773343658,1010.314671490827,24.46732917580978
2 / 21 / 2025,0,0,0,24.0602734375,74510,35.54629379337136,1010.3159348467826,24.456786141911312
2 / 21 / 2025,0,0,0,24.06671875,76984,35.49993803968705,1010.3095661479559,24.509934698109316
2 / 21 / 2025,0,0,0,24.071796875,78492,35.43585449342033,1010.3047151081488,24.550418151322845
2 / 21 / 2025,0,0,0,24.0774609375,80869,35.38358762715176,1010.309969281787,24.506570426552216
2 / 21 / 2025,0,0,0,24.0909375,76317,35.379022104570346,1010.3054992731797,24.543874036792765
2 / 21 / 2025,0,0,0,24.09953125,78985,35.77935543774673,1010.3025152343554,24.568776842028917
2 / 21 / 2025,0,0,0,24.105,81618,36.198141635046646,1010.3019516983134,24.57347974606992
