time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 21 / 2025,0,1,1,33.3919140625,97268,100,766.5663078336963,2292.2296779401804
2 / 21 / 2025,0,1,1,23.127265625,14678,36.970113142192034,1009.2820166845297,33.088674624796
2 / 21 / 2025,0,1,1,23.1614453125,22550,36.47702912428919,1009.2827183836135,33.082813911375816
2 / 21 / 2025,0,1,1,23.187421875,33798,35.9141064913628,1009.2869892089261,33.04714330285664
2 / 21 / 2025,0,1,1,23.2067578125,43284,35.381868509588614,1009.2936274184508,32.9917001695771
2 / 21 / 2025,0,1,1,23.217109375,55998,34.86229189679751,1009.2861031938369,33.05454343097319
2 / 21 / 2025,0,1,1,23.2067578125,65681,34.40657115578506,1009.2807903340677,33.09891732617773
2 / 21 / 2025,0,1,1,23.1798046875,75146,33.95071428861108,1009.2804839438909,33.10147635405069
2 / 21 / 2025,0,1,1,23.1409375,83080,33.570425242186865,1009.2815645097528,33.0924512693318
2 / 21 / 2025,0,1,1,23.0903515625,92498,33.21318922360789,1009.2843334062081,33.06932497284972
2 / 21 / 2025,0,1,1,23.039765625,102650,32.88567811236986,1009.285257024708,33.061610764688545
2 / 21 / 2025,0,1,1,22.987421875,109676,32.60477799780311,1009.298063551528,32.9546492111821
2 / 21 / 2025,0,1,1,22.9341015625,116030,32.31864611917537,1009.2946511298301,32.983150033910036
2 / 21 / 2025,0,1,1,22.884296875,124207,32.09069897845095,1009.3004362146941,32.934832582010294
2 / 21 / 2025,0,1,1,22.833125,128744,31.880183997703085,1009.3003876315368,32.93523835116106
2 / 21 / 2025,0,1,1,22.773359375,134235,31.686393229361954,1009.3014352414776,32.92648865995069
2 / 21 / 2025,0,1,1,22.710078125,140550,31.521110337794365,1009.3024190614663,32.918271752348325
2 / 21 / 2025,0,1,1,22.64015625,145062,31.383961801866175,1009.3039035534093,32.905873222937984
2 / 21 / 2025,0,0,0,22.5743359375,149491,31.25302364029017,1009.3008438023388,32.93142838864493
2 / 21 / 2025,0,0,0,22.5098828125,153930,31.156467652064926,1009.2980903649509,32.95442526360944
2 / 21 / 2025,0,0,0,22.4378125,158784,31.06503056570043,1009.2906274358862,33.01675635224078
2 / 21 / 2025,1,2,2,22.363203125,162293,30.98481636395292,1009.2919568463805,33.00565296287666
2 / 21 / 2025,1,2,2,22.283515625,166431,30.926936380210396,1009.2815848303727,33.09228154785832
2 / 21 / 2025,1,2,2,22.199921875,170785,30.874439249563906,1009.2778391264101,33.12356638884904
2 / 21 / 2025,1,2,2,22.1157421875,175025,30.81626184459277,1009.2694767784333,33.193410669135446
2 / 21 / 2025,1,2,2,22.0360546875,177851,30.80384191858129,1009.2700067012115,33.188984616612814
2 / 21 / 2025,1,2,2,21.9512890625,187842,30.785334364527493,1009.266151767856,33.22118206301777
2 / 21 / 2025,1,2,2,21.8673046875,190318,30.789564172341706,1009.2616692042332,33.25862177244778
2 / 21 / 2025,1,2,2,21.785859375,192538,30.805341360527876,1009.2629954706529,33.24754438539282
2 / 21 / 2025,1,2,2,21.72609375,192218,30.941973582122532,1009.2802323636071,33.103577599950206
2 / 21 / 2025,1,1,1,21.6815625,191368,31.01192211882737,1009.2776016846349,33.12554955145922
2 / 21 / 2025,0,0,0,21.6395703125,192324,31.286555194939496,1009.2734843961483,33.159938052988686
2 / 21 / 2025,0,0,0,21.5911328125,195360,31.566821423423338,1009.2664968678033,33.218299690827294
2 / 21 / 2025,0,1,1,21.53703125,201026,31.772965497033088,1009.2615280621886,33.25980063511881
2 / 21 / 2025,0,1,1,21.4876171875,203028,31.905577761819963,1009.2621227006513,33.2548340288695
2 / 21 / 2025,0,1,1,21.4450390625,203864,31.964660653454786,1009.2570456833415,33.297238940120636
2 / 21 / 2025,0,1,1,21.409296875,205071,32.07004551937756,1009.2517881720524,33.34115157823125
2 / 21 / 2025,0,1,1,21.37375,206414,32.16979734335396,1009.2523201088939,33.33670864068819
2 / 21 / 2025,0,1,1,21.3423046875,208651,32.258527966366415,1009.2538408676155,33.32400669953563
2 / 21 / 2025,0,0,0,21.3122265625,212359,32.31309499705245,1009.2556887372085,33.30857262786
2 / 21 / 2025,0,0,0,21.28234375,213405,32.361972321643925,1009.2596694116147,33.27532468076567
2 / 21 / 2025,0,0,0,21.2540234375,217014,32.38810385129311,1009.2624580409664,33.252033162818336
2 / 21 / 2025,0,0,0,21.2255078125,219210,32.40849703464593,1009.2503082481309,33.35351247213683
2 / 21 / 2025,0,0,0,21.19953125,218795,32.3947717053574,1009.2494808375511,33.3604233299901
2 / 21 / 2025,0,0,0,21.1753125,219071,32.409817919784444,1009.2441158901089,33.40523358764874
2 / 21 / 2025,0,0,0,21.1524609375,221735,32.436433014033824,1009.2463934106864,33.386210771229244
2 / 21 / 2025,0,0,0,21.131171875,223019,32.46318852193911,1009.2438258393673,33.407656216777916
